"longitude","latitude","presence","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
-123.54166666666667,40.875,true,12.113791,15.354583,49.006077,571.4911,31.814,0.482,31.331999,6.173333,19.107834,19.612667,5.6516666,1226.0,220.0,5.0,81.55564,625.0,36.0,49.0,596.0
-123.54166666666667,42.125,true,11.467709,15.22275,49.728046,574.92914,30.678,0.066,30.612,5.2103333,18.741333,18.862,4.956,1329.0,247.0,8.0,82.083206,701.0,44.0,56.0,660.0
-123.54166666666667,42.625,false,11.389625,13.51075,47.451096,553.8744,29.156,0.683,28.473,5.385,18.339666,18.551332,5.087167,1237.0,221.0,10.0,76.23494,627.0,52.0,63.0,580.0
-123.54166666666667,43.208333333333336,true,11.6102915,12.951417,47.851242,509.39987,28.33,1.264,27.066,6.218,17.928833,18.298666,5.868833,1268.0,214.0,13.0,70.35548,615.0,66.0,74.0,565.0
-123.54166666666667,45.625,true,8.549958,10.102417,46.759624,430.35098,21.506,-0.099,21.605001,4.1393332,13.7235,14.2805,3.7983334,2446.0,402.0,35.0,65.878746,1147.0,159.0,172.0,1077.0
-123.54166666666667,46.375,true,9.684417,10.567666,48.1333,436.22076,22.433,0.47800002,21.955,5.026167,14.939,15.309999,4.6918335,2519.0,398.0,43.0,62.231113,1149.0,182.0,206.0,1075.0
-123.45833333333333,39.708333333333336,true,11.536041,15.154583,52.980644,508.62207,28.914,0.31,28.604,6.524667,17.7975,18.308332,6.09,1466.0,276.0,3.0,88.51648,781.0,26.0,44.0,758.0
-123.45833333333333,41.625,true,11.354625,15.633583,49.657223,591.90607,30.861,-0.622,31.483,5.0198336,18.767334,19.0015,4.627333,1280.0,232.0,7.0,81.943924,667.0,43.0,54.0,636.0
-123.45833333333333,42.375,true,12.018416,14.522833,48.084076,589.59393,30.810999,0.608,30.203,5.4906664,19.470499,19.497166,5.2555,1054.0,192.0,8.0,80.121216,550.0,38.0,49.0,513.0
-123.45833333333333,47.041666666666664,true,10.179625,10.68075,47.087025,459.89005,23.723,1.04,22.682999,5.184,15.784833,15.969833,4.8096666,1932.0,307.0,35.0,62.916183,884.0,136.0,162.0,834.0
-123.375,38.625,false,12.193104,10.983334,61.920036,261.0662,21.936207,4.198276,17.73793,9.733046,14.833333,15.404885,9.127873,1061.0,211.0,3.0,89.475716,563.0,16.0,28.0,550.0
-123.375,39.541666666666664,true,11.881333,15.366834,53.48334,503.62802,29.093,0.361,28.732,6.781333,18.063667,18.510666,6.364333,1356.0,262.0,3.0,89.26313,727.0,22.0,38.0,707.0
-123.375,41.708333333333336,true,10.899208,15.8099165,49.37359,601.74316,30.705,-1.316,32.021,4.4265003,18.433834,18.650167,4.042333,1151.0,210.0,7.0,81.21471,602.0,43.0,52.0,574.0
-123.375,42.375,true,12.206959,14.766917,47.840466,606.4285,31.298,0.431,30.867,5.4538336,19.875,19.875,5.2313333,937.0,168.0,8.0,78.43253,483.0,37.0,37.0,451.0
-123.375,44.208333333333336,false,10.8915415,11.30675,44.034546,514.9096,26.605,0.928,25.677,5.401833,17.169167,17.570333,4.9016666,1627.0,286.0,17.0,71.28189,801.0,91.0,97.0,742.0
-123.375,44.541666666666664,true,11.0255,11.503834,44.371803,524.9087,26.754,0.828,25.926,5.2743335,17.457832,17.759666,4.891667,1495.0,267.0,17.0,71.43068,735.0,83.0,89.0,690.0
-123.375,44.625,true,10.238584,11.204333,45.026253,496.9441,25.506,0.622,24.884,4.9253335,16.309668,16.732334,4.595,1976.0,348.0,22.0,71.07529,965.0,110.0,119.0,907.0
-123.375,45.625,true,8.300167,10.3411665,45.5558,457.07205,22.032,-0.668,22.699999,3.5255,13.853833,14.324167,3.1608334,2330.0,389.0,33.0,66.82432,1105.0,152.0,164.0,1040.0
-123.375,46.625,true,9.321083,10.543333,47.04325,448.8834,22.645,0.23300001,22.412,4.547167,14.811334,15.085167,4.205,2186.0,345.0,37.0,62.5003,1001.0,159.0,179.0,939.0
-123.375,46.958333333333336,true,10.269167,10.964,47.50845,464.9614,24.083,1.005,23.078001,5.200333,15.957334,16.122334,4.846833,1781.0,281.0,32.0,62.893494,816.0,126.0,149.0,767.0
-123.375,47.958333333333336,true,4.8850417,7.919083,37.88854,472.44928,17.708,-3.193,20.901001,0.34116665,10.726666,11.277833,0.007499973,2373.0,377.0,52.0,60.503063,1088.0,204.0,204.0,1000.0
-123.375,48.125,true,9.50573,8.561875,40.15889,471.17868,21.815,0.495,21.32,4.4383335,15.271667,15.45375,4.034167,821.0,141.0,20.0,64.60425,399.0,72.0,78.0,357.0
-123.375,48.375,true,10.54375,7.231944,35.392876,498.38693,22.516666,2.0833333,20.433332,5.1305556,16.836111,16.836111,4.825,711.0,121.0,17.0,66.03498,352.0,63.0,63.0,312.0
-123.29166666666667,40.708333333333336,true,10.211416,15.400833,50.19174,573.1505,29.491,-1.193,30.684,4.5051665,17.309834,17.827833,4.0271664,1217.0,214.0,6.0,80.09264,615.0,41.0,54.0,588.0
-123.29166666666667,42.041666666666664,true,8.195958,13.644583,49.631104,513.37744,25.452,-2.04,27.492,3.3535001,14.669333,15.129666,2.876,1368.0,245.0,13.0,73.67317,683.0,69.0,75.0,637.0
-123.29166666666667,43.541666666666664,true,11.767083,12.945,46.692398,526.34503,28.916,1.192,27.724,6.0845,18.2875,18.591667,5.72,1314.0,217.0,14.0,68.74092,632.0,73.0,79.0,575.0
-123.29166666666667,46.958333333333336,true,10.001375,10.812417,46.967625,464.6198,23.806,0.785,23.021,4.955,15.676167,15.876333,4.6021667,1766.0,278.0,31.0,62.594944,809.0,128.0,148.0,757.0
-123.29166666666667,47.041666666666664,true,10.009875,10.697583,46.4325,466.21036,23.832,0.793,23.039001,4.9685,15.709333,15.889667,4.5665,1760.0,278.0,31.0,62.605106,805.0,126.0,148.0,755.0
-123.29166666666667,47.375,true,9.307167,9.795333,43.47299,470.70856,22.946,0.414,22.532,4.3719997,15.112333,15.347,3.9063334,2013.0,332.0,37.0,63.95865,932.0,144.0,163.0,874.0
-123.29166666666667,48.125,true,9.554065,8.799594,41.02141,467.8157,21.882927,0.43170732,21.45122,4.517073,15.283333,15.4463415,4.115854,789.0,135.0,20.0,63.848816,381.0,71.0,75.0,342.0
-123.20833333333333,39.875,true,11.716,16.082666,51.51399,569.2943,30.751,-0.469,31.22,6.0655,18.820667,19.2605,5.624,1261.0,234.0,3.0,87.378,666.0,26.0,41.0,646.0
-123.20833333333333,41.125,false,9.236333,15.332334,49.91644,580.48474,28.480999,-2.235,30.716,3.4691668,16.467167,16.903,2.9155002,1119.0,197.0,8.0,75.575195,558.0,50.0,56.0,524.0
-123.20833333333333,41.791666666666664,true,9.884042,15.312917,48.629417,600.5208,29.404,-2.085,31.488998,3.552,17.416,17.6985,3.1504998,1006.0,183.0,9.0,76.59169,515.0,48.0,53.0,487.0
-123.20833333333333,41.958333333333336,true,8.624291,14.298917,49.407127,545.755,26.753,-2.188,28.941,3.2705,15.496,15.893333,2.7906668,1198.0,213.0,12.0,72.98874,595.0,62.0,67.0,556.0
-123.20833333333333,43.208333333333336,true,12.2395,13.810666,47.779507,550.4892,30.199,1.294,28.904999,6.2793336,19.144667,19.404667,6.0393333,1123.0,186.0,13.0,66.8348,533.0,67.0,73.0,477.0
-123.20833333333333,45.875,true,9.4592085,11.648251,46.70322,487.85965,24.331,-0.61,24.941,4.087167,15.436167,15.612166,3.7021668,1774.0,290.0,27.0,64.72262,833.0,125.0,136.0,779.0
